,FECHA_ANOTACION,VALOR,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA, HAB, BAÑOS, LOCAL, PISOS,MAX_PUNT,POINT_X,POINT_Y,Latitud,Longitud,Latitud.1,Longitud.1,UTM waypoint Garmin,Estrato/Hacienda
598,2022-01-12 00:00:00,125171999,A,73,90,4,3,0,2,54,1374982.0958,10792123.4848,7.09847125134592,-73.1009588634487,"-7º -5' -54,497"" S","73º 6' 3,452"" W",17 N 1374982 10792123,4
907,2022-08-10 00:00:00,104309999,A,126,106,4,1,0,1,43,1371086.0105,10798310.2828,7.15450391084854,-73.1349539804693,"-7º -9' -16,214"" S","73º 8' 5,834"" W",17 N 1371086 10798310,2
602,2022-03-24 00:00:00,187757999,A,73,79,4,3,0,2,55,1374957.9797,10792028.0602,7.0976199955128,-73.1011898409455,"-7º -5' -51,432"" S","73º 6' 4,283"" W",17 N 1374958 10792028,4
924,2021-11-09 00:00:00,98844155,A,126,146,4,1,0,1,40,1371284.7691,10798490.3984,7.15608713993637,-73.133143099239,"-7º -9' -21,914"" S","73º 7' 59,315"" W",17 N 1371285 10798490,2
1118,2021-08-30 00:00:00,92290358,A,9,40,2,1,0,1,47,1371509.7268,10797873.2123,7.15052234434597,-73.1312203000769,"-7º -9' -1,88"" S","73º 7' 52,393"" W",17 N 1371510 10797873,2
620,2022-01-14 00:00:00,312930000,A,253,190,4,3,0,3,62,1374550.2998,10791982.3627,7.09727316919039,-73.1048534452372,"-7º -5' -50,183"" S","73º 6' 17,472"" W",17 N 1374550 10791982,5
344,2021-02-11 00:00:00,323566476,A,7,85,3,2,0,1,81,1373253.0415,10794692.4277,7.1217540035693,-73.1160724184454,"-7º -7' -18,314"" S","73º 6' 57,861"" W",17 N 1373253 10794692,4
1496,2022-08-02 00:00:00,38594700,A,39,46,11,1,1,2,22,1370379.0543,10798177.4719,7.15342281993949,-73.1413166500388,"-7º -9' -12,322"" S","73º 8' 28,74"" W",17 N 1370379 10798177,2
1033,2021-12-20 00:00:00,121406408,A,11,49,3,2,0,8,60,1371453.74,10797875.9942,7.15055590107145,-73.1317221223008,"-7º -9' -2,001"" S","73º 7' 54,2"" W",17 N 1371454 10797876,2
1223,2022-07-13 00:00:00,87620400,A,37,78,3,2,0,2,40,1371458.8121,10797459.7789,7.14682575238913,-73.1317408428288,"-7º -8' -48,573"" S","73º 7' 54,267"" W",17 N 1371459 10797460,1
1386,2021-02-19 00:00:00,2041346699,A,990,1020,0,1,2,3,54,1367926.2333,10793320.1453,7.11027413168133,-73.1640666024983,"-7º -6' -36,987"" S","73º 9' 50,64"" W",17 N 1367926 10793320,2
433,2021-04-21 00:00:00,461988989,C,278,256,0,1,2,2,60,1371868.7817,10795323.3071,7.12761954173991,-73.1283923588945,"-7º -7' -39,43"" S","73º 7' 42,212"" W",17 N 1371869 10795323,3
1246,2021-04-16 00:00:00,27934217,A,56,50,2,1,0,1,19,1372118.3571,10797041.1523,7.14297318202763,-73.1258888287822,"-7º -8' -34,703"" S","73º 7' 33,2"" W",17 N 1372118 10797041,1
429,2022-04-08 00:00:00,281637000,B,189,207,0,1,1,2,50,1371835.8118,10795558.0864,7.12972826240332,-73.1286519737819,"-7º -7' -47,022"" S","73º 7' 43,147"" W",17 N 1371836 10795558,3
634,2021-11-02 00:00:00,182646810,A,73,102,3,3,0,2,46,1372623.511,10790977.6587,7.08856651058008,-73.122289707509,"-7º -5' -18,839"" S","73º 7' 20,243"" W",17 N 1372624 10790978,4
1284,2022-03-18 00:00:00,26077499,A,43,99,1,1,0,1,15,1371145.4889,10794953.9421,7.12442107257337,-73.1349374093291,"-7º -7' -27,916"" S","73º 8' 5,775"" W",17 N 1371145 10794954,2
1329,2022-05-09 00:00:00,64150649,A,108,84,4,1,0,1,34,1370998.7841,10795100.0425,7.12575269595214,-73.136230965768,"-7º -7' -32,71"" S","73º 8' 10,431"" W",17 N 1370999 10795100,1
1228,2022-03-29 00:00:00,36508500,A,60,60,3,1,0,1,13,1371949.1373,10797081.0349,7.1433566077245,-73.1274006863792,"-7º -8' -36,084"" S","73º 7' 38,642"" W",17 N 1371949 10797081,1
1001,2022-03-28 00:00:00,123727720,A,11,49,3,2,0,3,60,1371462.8803,10797871.9875,7.15051859135137,-73.131640744001,"-7º -9' -1,867"" S","73º 7' 53,907"" W",17 N 1371463 10797872,2
254,2021-11-16 00:00:00,329301454,A,7,85,3,2,0,1,81,1373259.2967,10794696.485,7.12178939413714,-73.1160156844321,"-7º -7' -18,442"" S","73º 6' 57,656"" W",17 N 1373259 10794696,4
1100,2021-03-10 00:00:00,127439552,A,11,49,3,2,0,18,60,1371471.4235,10797860.236,7.15041197884734,-73.131565917585,"-7º -9' -1,483"" S","73º 7' 53,637"" W",17 N 1371471 10797860,2
405,2021-05-19 00:00:00,10743930,A,2,14,0,0,0,1,59,1374280.1102,10795624.9024,7.12995056688121,-73.106715854652,"-7º -7' -47,822"" S","73º 6' 24,177"" W",17 N 1374280 10795625,4
862,2021-11-16 00:00:00,153964814,A,6,41,3,2,0,1,73,1371893.3036,10796170.8432,7.13520979316214,-73.1280418737751,"-7º -8' -6,755"" S","73º 7' 40,951"" W",17 N 1371893 10796171,0
674,2021-11-02 00:00:00,64463579,A,108,69,3,1,0,1,31,1370390.8934,10793206.378,7.10887796495378,-73.1419746202789,"-7º -6' -31,961"" S","73º 8' 31,109"" W",17 N 1370391 10793206,3
1054,2021-06-10 00:00:00,127439552,A,11,49,3,2,0,11,60,1371462.8803,10797871.9875,7.15051859135137,-73.131640744001,"-7º -9' -1,867"" S","73º 7' 53,907"" W",17 N 1371463 10797872,2
332,2021-02-09 00:00:00,423132224,A,7,85,3,2,0,1,81,1373280.0739,10794708.6491,7.12189518638979,-73.1158274395281,"-7º -7' -18,823"" S","73º 6' 56,979"" W",17 N 1373280 10794709,4
